,name,gPlusPlaceId,location/lat,location/lng,address,url,categories,categoryName,average_rating,average_predict_rating,total_rows
1595,Công viên Gia Phú,ChIJ____Eu0rdTERR83YWYW4kwk,10.8063594,106.6077293,"RJ45+G3X, Đường CN1, Sơn Kỳ, Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ____Eu0rdTERR83YWYW4kwk,Công viên,Công viên,3.8875,4.159178906788577,160
1596,Công viên Lê Văn Tám,ChIJweBr2MovdTERYW_FRb7ZZGo,10.7881609,106.693773,"QMQV+6GM, Đ. Võ Thị Sáu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJweBr2MovdTERYW_FRb7ZZGo,Công viên,Công viên,4.238095238095238,4.16065608918148,168
1597,Công viên Lò Gốm,ChIJ_zqXnnkudTERy6NGfRg2Pss,10.7408241,106.6338657,"180 Đ. Nguyễn Văn Luông, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ_zqXnnkudTERy6NGfRg2Pss,Công viên,Công viên,3.962962962962963,4.159735829750217,108
1598,Công viên Nam Viên,ChIJ-S85510ldTERERFSUW9bW6E,10.7210309,106.7298982,"Việt Nam, Đường C, Phú Mỹ, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+Nam+Vi%C3%AAn/@10.7210309,106.7298982,17z/data=!3m1!4b1!4m6!3m5!1s0x3175255de7392ff9:0xa15b5b6f51521111!8m2!3d10.7210309!4d106.7298982!16s%2Fg%2F1hhgk66bg?hl=vi&entry=ttu","Công viên, Điểm thu hút khách du lịch",Công viên,4.532374100719425,4.176459997838705,278
1599,Công viên PK Manhattan Glory,ChIJERzvnjAhdTERgOgxrr2M2Nc,10.8325772,106.8431266,"RRMV+27, Long Bình, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJERzvnjAhdTERgOgxrr2M2Nc,Công viên,Công viên,5.0,4.231635640044271,2
1600,Công viên Phước Bình,ChIJ51c8f1gmdTERtC_SeXzOIdQ,10.8154745,106.7705192,"RQ8C+56J, Phước Bình, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ51c8f1gmdTERtC_SeXzOIdQ,Công viên,Công viên,3.8701298701298703,4.187798489433054,77
1601,Công viên Phạm Đình Hổ,ChIJIUQOqvcvdTERa9_6LAr31S4,10.7476644,106.6493509,"PJXX+3P9, Đ. Bãi Sậy, Phường 1, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJIUQOqvcvdTERa9_6LAr31S4,Công viên,Công viên,4.32258064516129,4.15823459825467,31
1602,Công viên Quận 9,ChIJB39sjw4ndTER1F2t8b0W20o,10.8434476,106.7787246,"Hồ Thị Tư, Hiệp Phú, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJB39sjw4ndTER1F2t8b0W20o,"Công viên giải trí, Công viên",Công viên giải trí,4.025862068965517,4.175732092397357,232
1603,Công viên Rạch Tra,ChIJwdqdQ4_XdDER5BhxpeQChzg,10.9162188,106.6481033,"WJ8X+F6Q, Chân, Cầu Rạch Tra, Đông Thạnh, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam",https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJwdqdQ4_XdDER5BhxpeQChzg,Công viên,Công viên,4.333333333333333,4.084819500323214,3
1604,Công viên Thanh Niên,ChIJBYIi-awpdTERfSc_Cyxrc5w,10.8604642,106.6791293,"VM6H+5MJ, Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh, Việt Nam","https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+Thanh+Ni%C3%AAn/@10.8604642,106.6791293,17z/data=!3m1!4b1!4m6!3m5!1s0x317529acf9228205:0x9c736b2c0b3f277d!8m2!3d10.8604642!4d106.6791293!16s%2Fg%2F11hdkz1zpp?hl=vi&entry=ttu",Công viên,Công viên,4.2,4.230997830515619,5
