"placeId","title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","location/lat","location/lng","address","permanentlyClosed","url"
"ChIJOdL90vAndTERouV_3XiIvuQ","UBND phường Tam Bình","Văn phòng chính quyền địa phương",,,,,,,,,"Văn phòng chính quyền địa phương","10.8685257","106.7348102","707 Tô Ngọc Vân, Khu phố 4, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJOdL90vAndTERouV_3XiIvuQ"
"ChIJqZqca0ondTERubP0P7GvUyg","Hệ thống cửa hàng xe đạp Xedap.vn - Chi nhánh Grand Park, Thủ Đức - HCM","Cửa hàng xe đạp",,,,,,,,,"Cửa hàng xe đạp","10.8391987","106.8440995","Vinhomes Grand Park D2A-56, tại phân khu Manhattan, Long Bình, Thành phố Thủ Đức, Thành phố Hồ Chí Minh 70000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJqZqca0ondTERubP0P7GvUyg"
"ChIJsw_fwPAndTER6ba1iWtwwkY","Lẩu dê Đồng Hương","Nhà hàng",,,,,,,,,"Nhà hàng","10.8676909","106.736833","663 Tô Ngọc Vân, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJsw_fwPAndTER6ba1iWtwwkY"
"ChIJrRhYWfEndTEROqdE41XbqEY","Trung Tâm Khiếm Thị Nhật Hồng","Trung tâm giáo dục",,,,,,,,,"Trung tâm giáo dục","10.8675646","106.7408303","16a Đường Số 7, KP 3, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJrRhYWfEndTEROqdE41XbqEY"
"ChIJZSEbR_MndTER2TdiWLCEbsI","Bệnh viện Tâm thần",,,,,,,,,,,"10.867444","106.7465007","Thủ Đức, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJZSEbR_MndTER2TdiWLCEbsI"
"ChIJi5ce5fAndTERi70BAudW7Iw","Công ty Điện lực Thủ Đức","Văn phòng công ty",,,,,,,,,"Văn phòng công ty","10.8668402","106.7376397","Tô Ngọc Vân, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJi5ce5fAndTERi70BAudW7Iw"
"ChIJwXwTnKIhdTERRrQEM11Mq4o","Vinhomes Grand Park Quận 9","Đại lý bất động sản",,,,,,,,,"Đại lý bất động sản","10.8370098","106.8389884","Đ. Nguyễn Xiển, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh 700000, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJwXwTnKIhdTERRrQEM11Mq4o"
"ChIJ4dErMvMndTERPLxfjArH7_U","Trường THCS Thái Văn Lung","Trường THCS",,,,,,,,,"Trường THCS","10.8664002","106.7466986","35 Phú Châu, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ4dErMvMndTERPLxfjArH7_U"
"ChIJVwoUPBIhdTERrXdpE6rDDcA","Xóm Bếp Nhà Gỗ","Nhà hàng hải sản",,,,,,,,,"Nhà hàng hải sản","10.8368184","106.8345682","Đối diện toà S305 vinhomes grand park, Long Thạnh Mỹ, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJVwoUPBIhdTERrXdpE6rDDcA"
"ChIJ4dErMvMndTERnLkJBcGpKgc","Trường Tiểu học Thái Văn Lung","Trường tiểu học",,,,,,,,,"Trường tiểu học","10.8662849","106.7443812","93/6 Đ. Tam Châu, Tam Phú, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","false","https://www.google.com/maps/search/?api=1&query=all_places_no_search_ocr&query_place_id=ChIJ4dErMvMndTERnLkJBcGpKgc"
